Honest_Fraction,SVM,MIGHT,SPO-MIGHT
0.3,0.3937007874,0.290463692,0.3158355206
0.3,0.4076990376,0.2852143482,0.363079615
0.3,0.467191601,0.293088364,0.3263342082
0.3,0.3359580052,0.271216098,0.2519685039
0.3,0.4059492563,0.2694663167,0.3000874891
0.3,0.2948381452,0.312335958,0.2992125984
0.3,0.406824147,0.302712161,0.2729658793
0.3,0.4593175853,0.2852143482,0.2852143482
0.3,0.39720035,0.2694663167,0.3482064742
0.3,0.363079615,0.363079615,0.3044619423
0.4,0.3718285214,0.3000874891,0.343832021
0.4,0.3648293963,0.3228346457,0.3525809274
0.4,0.3245844269,0.2598425197,0.3805774278
0.4,0.3797025372,0.2755905512,0.2799650044
0.4,0.3648293963,0.2720909886,0.3237095363
0.4,0.3735783027,0.3105861767,0.3368328959
0.4,0.3639545057,0.3088363955,0.3385826772
0.4,0.4155730534,0.2685914261,0.3333333333
0.4,0.3893263342,0.3482064742,0.3884514436
0.4,0.3350831146,0.3237095363,0.3893263342
0.5,0.3237095363,0.3070866142,0.3718285214
0.5,0.3543307087,0.2965879265,0.4234470691
0.5,0.4365704287,0.3298337708,0.3350831146
0.5,0.3902012248,0.2887139108,0.3735783027
0.5,0.3928258968,0.3639545057,0.3902012248
0.5,0.3464566929,0.2502187227,0.3744531934
0.5,0.3893263342,0.2965879265,0.3805774278
0.5,0.4111986002,0.3350831146,0.3088363955
0.5,0.3622047244,0.3140857393,0.3202099738
0.5,0.3447069116,0.2843394576,0.375328084
0.6,0.4251968504,0.3307086614,0.4059492563
0.6,0.4103237095,0.3298337708,0.4050743657
0.6,0.3307086614,0.3079615048,0.426071741
0.6,0.4015748031,0.3044619423,0.4059492563
0.6,0.3412073491,0.3298337708,0.3954505687
0.6,0.4015748031,0.3245844269,0.4269466317
0.6,0.3035870516,0.3805774278,0.4173228346
0.6,0.4181977253,0.3569553806,0.4146981627
0.6,0.3832020997,0.3429571304,0.3359580052
0.6,0.3832020997,0.3097112861,0.3683289589
0.7,0.3709536308,0.3394575678,0.394575678
0.7,0.3902012248,0.375328084,0.3788276465
0.7,0.3700787402,0.3744531934,0.4514435696
0.7,0.3840769904,0.3272090989,0.394575678
0.7,0.343832021,0.3928258968,0.4444444444
0.7,0.4409448819,0.3963254593,0.3683289589
0.7,0.3893263342,0.3175853018,0.3963254593
0.7,0.3989501312,0.3385826772,0.4138232721
0.7,0.3595800525,0.2755905512,0.3613298338
0.7,0.3735783027,0.3595800525,0.4103237095
0.8,0.4286964129,0.4444444444,0.4015748031
0.8,0.5091863517,0.375328084,0.4339457568
0.8,0.3412073491,0.4103237095,0.3613298338
0.8,0.3193350831,0.363079615,0.3587051619
0.8,0.3814523185,0.4733158355,0.4435695538
0.8,0.3385826772,0.3840769904,0.4138232721
0.8,0.4190726159,0.3622047244,0.3587051619
0.8,0.3814523185,0.4085739283,0.4234470691
0.8,0.3919510061,0.3674540682,0.3980752406
0.8,0.3307086614,0.4024496938,0.3867016623
0.9,0.3552055993,0.4461942257,0.3569553806
0.9,0.4146981627,0.4286964129,0.3998250219
0.9,0.3840769904,0.4374453193,0.4374453193
0.9,0.4015748031,0.4059492563,0.3595800525
0.9,0.4365704287,0.4304461942,0.3867016623
0.9,0.3254593176,0.4216972878,0.375328084
0.9,0.3613298338,0.4190726159,0.4234470691
0.9,0.4969378828,0.3989501312,0.4549431321
0.9,0.3893263342,0.3639545057,0.3893263342
0.9,0.3779527559,0.4234470691,0.4111986002